Date,MaxT F,MaxT C,MinT F,MinT C,GDD C,Accumulation,Days,
5/22/2020,68.1,20.1,54.6,12.6,6.3,6.3,1,
5/23/2020,74.2,23.4,51.4,10.8,7.1,13.4,2,
5/24/2020,80.5,26.9,59.2,15.1,11,24.4,3,
5/25/2020,83.1,28.4,63.3,17.4,12.9,37.3,35,
5/26/2020,86.4,30.2,61.6,16.4,13.3,50.7,36,
5/27/2020,84.1,28.9,66.8,19.3,14.1,64.8,37,
5/28/2020,71.5,21.9,60.2,15.7,8.8,73.6,38,
5/29/2020,63.7,17.6,49.9,9.9,3.8,77.4,39,
5/30/2020,68.1,20.1,46.7,8.2,4.1,81.5,40,
5/31/2020,70.5,21.4,38.7,3.7,2.6,84.1,41,
6/1/2020,78,25.6,50.1,10.1,7.8,91.9,42,
6/2/2020,90.7,32.6,64.2,17.9,15.3,107.1,43,
6/3/2020,84.1,28.9,62.6,17,13,120.1,44,
6/4/2020,85.4,29.7,58.6,14.8,12.2,132.3,45,
6/5/2020,84.5,29.2,62.3,16.8,13,145.3,46,
6/6/2020,78.3,25.7,55.3,12.9,9.3,154.6,47,
6/7/2020,79.4,26.3,53.2,11.8,9.1,163.7,48,
6/8/2020,89.4,31.9,56.6,13.7,12.8,176.5,49,
6/9/2020,85.4,29.7,58,14.4,12.1,188.5,50,
6/10/2020,78.2,25.7,57.5,14.2,9.9,198.4,51,
6/11/2020,77.5,25.3,52.8,11.6,8.4,206.9,52,
6/12/2020,79.8,26.6,50.3,10.2,8.4,215.2,53,
6/13/2020,67.2,19.6,43.3,6.3,2.9,218.1,54,
6/14/2020,69.7,20.9,43.6,6.4,3.7,221.8,55,
6/15/2020,76,24.4,41.4,5.2,4.8,226.7,56,
6/16/2020,81.5,27.5,46.6,8.1,7.8,234.5,57,
6/17/2020,84,28.9,54,12.2,10.6,245,58,
6/18/2020,85,29.4,56.2,13.4,11.4,256.5,59,
6/19/2020,86.8,30.4,57.5,14.2,12.3,268.8,60,
6/20/2020,79.4,26.3,67,19.4,12.9,281.7,61,
6/21/2020,82,27.8,57.8,14.3,11.1,292.7,62,
6/22/2020,70.9,21.6,59.3,15.2,8.4,301.1,63,
6/23/2020,73,22.8,54,12.2,7.5,308.6,64,
6/24/2020,75.3,24.1,52.6,11.4,7.8,316.4,65,
6/25/2020,79.7,26.5,51.7,10.9,8.7,325.1,66,
6/26/2020,74.6,23.7,57.5,14.2,8.9,334,67,
6/27/2020,83.4,28.6,62.8,17.1,12.8,346.8,68,
6/28/2020,84.1,28.9,60.6,15.9,12.4,359.3,69,
6/29/2020,86.3,30.2,63.3,17.4,13.8,373,70,
6/30/2020,88.4,31.3,62.3,16.8,14.1,387.1,71,
7/1/2020,87.4,30.8,62.4,16.9,13.8,400.9,72,
7/2/2020,90.2,32.3,57.5,14.2,13.3,414.2,73,
7/3/2020,89.2,31.8,61.4,16.3,14.1,428.3,74,
7/4/2020,89.1,31.7,62.5,16.9,14.3,442.6,75,
7/5/2020,87.9,31.1,63.1,17.3,14.2,456.8,76,
7/6/2020,88.9,31.6,65.4,18.6,15.1,471.8,77,
7/7/2020,90.4,32.4,65.3,18.5,15.5,487.3,78,
7/8/2020,88.5,31.4,63.1,17.3,14.3,501.6,79,
7/9/2020,89,31.7,66.6,19.2,15.4,517.1,80,
7/10/2020,81.1,27.3,64,17.8,12.5,529.6,81,
7/11/2020,82.4,28,58.9,14.9,11.5,541.1,82,
7/12/2020,78.7,25.9,59,15,10.5,551.6,83,
7/13/2020,82.7,28.2,54,12.2,10.2,561.7,84,
7/14/2020,81.4,27.4,64.1,17.8,12.6,574.4,85,
7/15/2020,71.5,21.9,62.7,17.1,9.5,583.9,86,
7/16/2020,80.4,26.9,61.6,16.4,11.7,595.6,87,
7/17/2020,85.3,29.6,58.3,14.6,12.1,607.7,88,
7/18/2020,86.3,30.2,70.3,21.3,15.7,623.4,89,
7/19/2020,81.4,27.4,63.7,17.6,12.5,635.9,90,
7/20/2020,76.3,24.6,58.6,14.8,9.7,645.6,91,
7/21/2020,79.4,26.3,58,14.4,10.4,656,92,
7/22/2020,78.4,25.8,53.4,11.9,8.8,664.8,93,
7/23/2020,79.4,26.3,51.8,11,8.7,673.5,94,
7/24/2020,82.7,28.2,53.3,11.8,10,683.5,95,
7/25/2020,86.9,30.5,60.7,15.9,13.2,696.7,96,
7/26/2020,90.2,32.3,70.4,21.3,16.8,713.6,97,
7/27/2020,80.4,26.9,63.6,17.6,12.2,725.8,98,
7/28/2020,83.6,28.7,57.2,14,11.3,737.1,99,
7/29/2020,83.6,28.7,58.5,14.7,11.7,748.8,100,
7/30/2020,80.2,26.8,58,14.4,10.6,759.4,101,
7/31/2020,78.5,25.8,53.7,12.1,8.9,768.4,102,
8/1/2020,78.7,25.9,51.8,11,8.5,776.8,103,
8/2/2020,74.7,23.7,54.8,12.7,8.2,785,104,
8/3/2020,64.7,18.2,53.7,12.1,5.1,790.1,105,
8/4/2020,69.5,20.8,47.2,8.4,4.6,794.8,106,
8/5/2020,76,24.4,45.8,7.7,6.1,800.8,107,
8/6/2020,79.5,26.4,46.8,8.2,7.3,808.1,108,
8/7/2020,80.1,26.7,49.2,9.6,8.1,816.3,109,
8/8/2020,86.9,30.5,63.6,17.6,14,830.3,110,
8/9/2020,83.3,28.5,66.3,19.1,13.8,844.1,111,
8/10/2020,83.6,28.7,61.8,16.6,12.6,856.7,112,
8/11/2020,80.9,27.2,51.7,10.9,9.1,865.7,113,
8/12/2020,82.3,27.9,50,10,9,874.7,114,
8/13/2020,83.6,28.7,53,11.7,10.2,884.9,115,
8/14/2020,85.3,29.6,53,11.7,10.6,895.5,116,
8/15/2020,75.1,23.9,54.3,12.4,8.2,903.7,117,
8/16/2020,81.1,27.3,51.6,10.9,9.1,912.8,118,
8/17/2020,79,26.1,54.7,12.6,9.4,922.1,119,
8/18/2020,76.2,24.6,50.7,10.4,7.5,929.6,120,
8/19/2020,79.5,26.4,45.7,7.6,7,936.6,121,
8/20/2020,80.7,27.1,52.5,11.4,9.2,945.8,122,
8/21/2020,82.6,28.1,49.5,9.7,8.9,954.7,123,
8/22/2020,82.4,28,56.2,13.4,10.7,965.5,124,
8/23/2020,86.3,30.2,60.9,16.1,13.1,978.6,125,
8/24/2020,87.4,30.8,60.1,15.6,13.2,991.8,126,
8/25/2020,85.5,29.7,63.6,17.6,13.6,1005.4,127,
8/26/2020,88.8,31.6,62.9,17.2,14.4,1019.8,128,
8/27/2020,91.3,32.9,64.3,17.9,15.4,1035.2,129,
8/28/2020,85.3,29.6,65.2,18.4,14,1049.2,130,
8/29/2020,74.8,23.8,54.6,12.6,8.2,1057.4,131,
8/30/2020,73.8,23.2,45.7,7.6,5.4,1062.8,132,
8/31/2020,72.2,22.3,48.5,9.2,5.8,1068.6,133,
9/1/2020,71.7,22.1,43.6,6.4,4.3,1072.8,134,
9/2/2020,78.8,26,52.1,11.2,8.6,1081.4,135,
9/3/2020,74.3,23.5,47.6,8.7,6.1,1087.5,136,
9/4/2020,74.6,23.7,45.5,7.5,5.6,1093.1,137,
9/5/2020,75.1,23.9,48.6,9.2,6.6,1099.7,138,
9/6/2020,77.3,25.2,49.2,9.6,7.4,1107,139,
9/7/2020,70.2,21.2,51.4,10.8,6,1113,140,
9/8/2020,52.7,11.5,46.4,8,-0.3,1112.8,141,
9/9/2020,49.5,9.7,44.4,6.9,-1.7,1111.1,142,
9/10/2020,51.7,10.9,44.4,6.9,-1.1,1110,143,
9/11/2020,59.9,15.5,49.3,9.6,2.6,1112.6,144,
9/12/2020,68.1,20.1,55.8,13.2,6.6,1119.2,145,
9/13/2020,71.5,21.9,49,9.4,5.7,1124.9,146,
9/14/2020,71,21.7,46.9,8.3,5,1129.9,147,
9/15/2020,77.7,25.4,52.3,11.3,8.3,1138.2,148,
9/16/2020,74.1,23.4,52.3,11.3,7.3,1145.5,149,
9/17/2020,65.8,18.8,41.3,5.2,2,1147.5,150,
9/18/2020,61.8,16.6,35.9,2.2,-0.6,1146.9,151,
9/19/2020,64.9,18.3,32.1,0.1,-0.8,1146,152,
9/20/2020,69.2,20.7,38.4,3.6,2.1,1148.1,153,
9/21/2020,72.6,22.6,41.2,5.1,3.8,1152,154,
9/22/2020,78.9,26.1,49.4,9.7,7.9,1159.8,155,
9/23/2020,78.1,25.6,47.2,8.4,7,1166.9,156,
9/24/2020,74.4,23.6,46.4,8,5.8,1172.6,157,
9/25/2020,77.7,25.4,53.2,11.8,8.6,1181.2,158,
9/26/2020,74.9,23.8,59.8,15.4,9.6,1190.9,159,
9/27/2020,72.7,22.6,51.6,10.9,6.8,1197.6,160,
9/28/2020,58.1,14.5,43.4,6.3,0.4,1198,161,
9/29/2020,55.6,13.1,40.2,4.6,-1.2,1196.9,162,
9/30/2020,59.1,15.1,41.6,5.3,0.2,1197.1,163,
10/1/2020,56.9,13.8,41.2,5.1,-0.5,1196.5,164,
10/2/2020,50.5,10.3,28.5,-1.9,-5.8,1190.7,165,
10/3/2020,52.2,11.2,35.5,1.9,-3.4,1187.3,166,
10/4/2020,52.3,11.3,28.4,-2,-5.4,1181.9,167,
10/5/2020,62.2,16.8,27.5,-2.5,-2.9,1179.1,168,
10/6/2020,73.2,22.9,40.3,4.6,3.8,1182.8,169,
10/7/2020,70.6,21.4,38.2,3.4,2.4,1185.2,170,
10/8/2020,66.7,19.3,34.6,1.4,0.4,1185.6,171,
10/9/2020,79.7,26.5,45.7,7.6,7.1,1192.7,172,
10/10/2020,70.4,21.3,42.9,6.1,3.7,1196.4,173,
10/11/2020,64.3,17.9,41.1,5.1,1.5,1197.9,174,
10/12/2020,63.6,17.6,42,5.6,1.6,1199.4,175,
10/13/2020,65.3,18.5,36.1,2.3,0.4,1199.8,176,
10/14/2020,65.9,18.8,35.7,2.1,0.4,1200.2,177,
10/15/2020,53.6,12,29.6,-1.3,-4.7,1195.6,178,<HARVEST
10/16/2020,52.5,11.4,27.5,-2.5,-5.6,1190,179,
10/17/2020,60.7,15.9,27.9,-2.3,-3.2,1186.9,180,
10/18/2020,54,12.2,30.8,-0.7,-4.2,1182.6,181,
10/19/2020,35.2,1.8,22,-5.6,-11.9,1170.7,182,
10/20/2020,46.1,7.8,23.7,-4.6,-8.4,1162.4,183,
10/21/2020,53.4,11.9,37.5,3.1,-2.5,1159.8,184,
10/22/2020,45.7,7.6,36.6,2.6,-4.9,1154.9,185,
10/23/2020,40.4,4.7,33.6,0.9,-7.2,1147.7,186,
10/24/2020,39.7,4.3,30.1,-1.1,-8.4,1139.3,187,
10/25/2020,35,1.7,29.1,-1.6,-10,1129.3,188,
10/26/2020,35.4,1.9,24.3,-4.3,-11.2,1118.1,189,
10/27/2020,39.9,4.4,23.8,-4.6,-10.1,1108.1,190,
10/28/2020,54.2,12.3,22.6,-5.2,-6.4,1101.6,191,
10/29/2020,40.9,4.9,31,-0.6,-7.8,1093.8,192,
10/30/2020,41.2,5.1,22.9,-5.1,-10,1083.8,193,
10/31/2020,57.9,14.4,23.8,-4.6,-5.1,1078.7,194,
