year,gdd,tpl_0,tpl_1,transplant_timing,transplant_doy,crop,rep,height_cm,weight_g,weight_reduction_tt,weight_reduction_fal_0,weight_reduction_crop,height_reduction_fal_0,height_reduction_crop
2019,0,0,0,1,165,corn,1,105.75,14.62,89.4,89.4,-1.73973556,15.77731762,15.64967696
2019,0,0,0,1,165,corn,2,150.25,17.49,87.3,87.3,-21.71189979,-19.6639057,0
2019,0,0,0,1,165,corn,3,116.25,13.46,90.2,90.2,6.332637439,7.414781778,7.274467576
2019,0,0,0,1,165,corn,4,129.25,11.91,91.4,91.4,17.11899791,-2.938834024,-3.094839276
2019,0,0,0,1,165,narrow,1,70.25,7.7,94.4,94.4,15.84699454,44.05065307,15.54460207
2019,0,0,0,1,165,narrow,2,107.75,11.47,91.7,91.7,0,14.18445365,-29.53835057
2019,0,0,0,1,165,narrow,3,77.25,9.87,92.8,92.8,-7.868852459,38.47562918,7.129117576
2019,0,0,0,1,165,narrow,4,77.5,7.59,94.5,94.5,17.04918033,38.27652119,6.828564559
2019,0,0,0,1,165,wide,1,92.25,11.52,91.6,91.6,43.55707986,26.52914941,24.22997947
2019,0,0,0,1,165,wide,2,111.75,18.2,86.8,86.8,10.82802548,10.99872571,8.213552361
2019,0,0,0,1,165,wide,3,150.25,37.13,73.1,73.1,0,-19.6639057,-23.40862423
2019,0,0,0,1,165,wide,4,132.75,14.81,89.3,89.3,27.43753062,-5.72634597,-9.034907598
2019,0,0,0,1,165,fallow,1,163.25,238.59,0.0,0.0,0,0,0
2019,0,0,0,1,165,fallow,2,145,143.38,-3.9,-3.9,-3.936208771,-15.48263778,-15.48263778
2019,0,0,0,1,165,fallow,3,93.5,48.65,64.7,64.7,64.73359913,25.53360943,25.53360943
2019,0,0,0,1,165,fallow,4,100.5,121.2,12.1,12.1,12.14208046,19.95858554,19.95858554
2019,87,10,10,2,175,corn,1,39.75,0.94,98.8,99.3,93.45859429,68.34182861,68.2938502
2019,87,10,10,2,175,corn,2,56,0.86,98.9,99.4,94.01530967,55.39980886,55.33221664
2019,87,10,10,2,175,corn,3,39.5,0.3,99.6,99.8,97.91231733,68.5409366,68.49325995
2019,87,10,10,2,175,corn,4,42.25,1.01,98.7,99.3,92.97146834,66.35074865,66.29975273
2019,87,10,10,2,175,narrow,1,35,0.2,99.7,99.9,97.81420765,72.12488054,57.92257754
2019,87,10,10,2,175,narrow,2,20,0.05,99.9,100.0,99.45355191,84.07136031,75.9557586
2019,87,10,10,2,175,narrow,3,42.75,1.03,98.7,99.3,88.7431694,65.95253265,48.605434
2019,87,10,10,2,175,narrow,4,42,0.32,99.6,99.8,96.50273224,66.54985664,49.50709305
2019,87,10,10,2,175,wide,1,96.25,22.99,71.1,83.3,-12.64086232,23.34342147,20.94455852
2019,87,10,10,2,175,wide,2,50.75,0.55,99.3,99.6,97.30524253,59.58107678,58.31622177
2019,87,10,10,2,175,wide,3,84.5,6.6,91.7,95.2,67.66291034,32.70149729,30.59548255
2019,87,10,10,2,175,wide,4,68.75,4.72,94.1,96.6,76.87408133,45.24530105,43.53182752
2019,87,10,10,2,175,fallow,1,129.5,103.59,0.0,24.9,24.90757521,-3.13794202,-3.13794202
2019,87,10,10,2,175,fallow,2,142.5,57.89,27.3,58.0,58.03552012,-13.49155782,-13.49155782
2019,87,10,10,2,175,fallow,3,135.75,89,-11.7,35.5,35.48387097,-8.115641924,-8.115641924
2019,87,10,10,2,175,fallow,4,168.25,68.15,14.4,50.6,50.59804277,-33.99968143,-33.99968143
2019,219,20,20,3,185,corn,1,21.5,0.03,100.0,100.0,99.79123173,82.87671233,82.85076175
2019,219,20,20,3,185,corn,2,20.25,0.15,99.8,99.9,98.95615866,83.87225231,83.84781048
2019,219,20,20,3,185,corn,3,20,0.04,99.9,100.0,99.72164231,84.07136031,84.04722023
2019,219,20,20,3,185,corn,4,52,1.24,98.3,99.1,91.37091162,58.5855368,58.52277259
2019,219,20,20,3,185,narrow,1,9,0.01,100.0,100.0,99.89071038,92.83211214,89.18009137
2019,219,20,20,3,185,narrow,2,10.5,0.01,100.0,100.0,99.89071038,91.63746416,87.37677326
2019,219,20,20,3,185,narrow,3,8.75,0.01,100.0,100.0,99.89071038,93.03122013,89.48064439
2019,219,20,20,3,185,narrow,4,10.75,0.01,100.0,100.0,99.89071038,91.43835616,87.07622025
2019,219,20,20,3,185,wide,1,14.25,0.06,99.9,100.0,99.70602646,88.65084422,88.29568789
2019,219,20,20,3,185,wide,2,13.5,0.02,100.0,100.0,99.90200882,89.24816821,88.91170431
2019,219,20,20,3,185,wide,3,12.75,0.01,100.0,100.0,99.95100441,89.84549219,89.52772074
2019,219,20,20,3,185,wide,4,13,0.01,100.0,100.0,99.95100441,89.6463842,89.32238193
2019,219,20,20,3,185,fallow,1,87.5,67.95,6.7,50.7,50.74302283,30.31220134,30.31220134
2019,219,20,20,3,185,fallow,2,105.75,79.99,0.0,42.0,42.01522291,15.77731762,15.77731762
2019,219,20,20,3,185,fallow,3,107.25,78.81,-8.2,42.9,42.87060529,14.58266964,14.58266964
2019,219,20,20,3,185,fallow,4,90,64.67,11.2,53.1,53.1206959,28.32112138,28.32112138
2019,340,30,30,4,195,corn,1,13.25,0.01,100.0,100.0,99.93041058,89.4472762,89.4312834
2019,340,30,30,4,195,corn,2,9.75,0.01,100.0,100.0,99.93041058,92.23478815,92.22301986
2019,340,30,30,4,195,corn,3,10.75,0.015,100.0,100.0,99.89561587,91.43835616,91.42538087
2019,340,30,30,4,195,corn,4,11.5,0.0175,100.0,100.0,99.87821851,90.84103218,90.82715163
2019,340,30,30,4,195,narrow,1,0,0,100.0,100.0,100,100,100
2019,340,30,30,4,195,narrow,2,0,0,100.0,100.0,100,100,100
2019,340,30,30,4,195,narrow,3,2,0.0025,100.0,100.0,99.9726776,98.40713603,97.59557586
2019,340,30,30,4,195,narrow,4,2.25,0.005,100.0,100.0,99.94535519,98.20802803,97.29502284
2019,340,30,30,4,195,wide,1,0,0,100.0,100.0,100,100,100
2019,340,30,30,4,195,wide,2,3.25,0.005,100.0,100.0,99.9755022,97.41159605,97.33059548
2019,340,30,30,4,195,wide,3,7,0.0075,100.0,100.0,99.96325331,94.42497611,94.25051335
2019,340,30,30,4,195,wide,4,3.25,0.0025,100.0,100.0,99.9877511,97.41159605,97.33059548
2019,340,30,30,4,195,fallow,1,73.5,67.25,3.5,51.3,51.25045306,41.46224912,41.46224912
2019,340,30,30,4,195,fallow,2,71.5,68.57,1.6,50.3,50.29358463,43.05511309,43.05511309
2019,340,30,30,4,195,fallow,3,67.25,65.41,6.1,52.6,52.58426966,46.43994903,46.43994903
2019,340,30,30,4,195,fallow,4,65.75,77.51,0.0,43.8,43.81297572,47.63459701,47.63459701
2019,472,40,40,5,205,corn,1,7.25,0.01,100.0,100.0,99.93041058,94.22586811,94.21711733
2019,472,40,40,5,205,corn,2,9.5,0.0125,100.0,100.0,99.91301322,92.43389615,92.42242961
2019,472,40,40,5,205,corn,3,9,0.01,100.0,100.0,99.93041058,92.83211214,92.8212491
2019,472,40,40,5,205,corn,4,6.25,0.01,100.0,100.0,99.93041058,95.0223001,95.01475632
2019,472,40,40,5,205,narrow,1,0,0,100.0,100.0,100,100,100
2019,472,40,40,5,205,narrow,2,3.75,0.0075,100.0,100.0,99.91803279,97.01338006,95.49170474
2019,472,40,40,5,205,narrow,3,0,0,100.0,100.0,100,100,100
2019,472,40,40,5,205,narrow,4,0,0,100.0,100.0,100,100,100
2019,472,40,40,5,205,wide,1,0,0,100.0,100.0,100,100,100
2019,472,40,40,5,205,wide,2,1.75,0.0025,100.0,100.0,99.9877511,98.60624403,98.56262834
2019,472,40,40,5,205,wide,3,0,0,100.0,100.0,100,100,100
2019,472,40,40,5,205,wide,4,2.75,0.005,100.0,100.0,99.9755022,97.80981204,97.7412731
2019,472,40,40,5,205,fallow,1,53.25,30.8,-0.8,77.7,77.67306995,57.58999681,57.58999681
2019,472,40,40,5,205,fallow,2,52.75,33.81,0.0,75.5,75.49111997,57.98821281,57.98821281
2019,472,40,40,5,205,fallow,3,47.5,27.84,8.9,79.8,79.81877492,62.16948073,62.16948073
2019,472,40,40,5,205,fallow,4,52.75,29.77,2.6,78.4,78.41971729,57.98821281,57.98821281
2020,0,0,1,1,161,corn,1,108.5,17.67,96.2,96.2,-21.77808408,28.2929086,-2.911884663
2020,0,0,1,1,161,corn,2,81,10.1,97.9,97.9,30.39283253,46.46751702,23.17177274
2020,0,0,1,1,161,corn,3,106.25,11.7,97.5,97.5,19.36595451,29.77992201,-0.777767239
2020,0,0,1,1,161,corn,4,126,18.59,96.0,96.0,0,16.72724869,0
2020,99,10,10,2,171,corn,1,115,9.46,95.6,98.0,34.80358374,23.99709206,-9.077112776
2020,99,10,10,2,171,corn,2,85.25,5.87,97.2,98.8,59.54514128,43.6587139,19.14066205
2020,99,10,10,2,171,corn,3,75,4.18,98.0,99.1,71.19228119,50.43288613,28.86275254
2020,99,10,10,2,171,corn,4,91,5.34,97.5,98.9,63.19779462,39.8585685,13.68680641
2020,204,20,20,3,181,corn,1,65,1.57,99.2,99.7,89.17987595,57.04183464,38.34771887
2020,204,20,20,3,181,corn,2,87.5,3.87,98.0,99.2,73.3287388,42.17170048,17.00654463
2020,204,20,20,3,181,corn,3,62.75,1.79,99.1,99.6,87.66368022,58.52884806,40.48183629
2020,204,20,20,3,181,corn,4,34.5,0.37,99.8,99.9,97.45003446,77.19912762,67.27686617
2020,347,30,30,4,191,corn,1,28.5,0.21,99.9,100.0,98.55272226,81.16449673,72.96784596
2020,347,30,30,4,191,corn,2,33,0.52,99.7,99.9,96.41626465,78.1904699,68.69961112
2020,347,30,30,4,191,corn,3,37,0.55,99.7,99.9,96.20951068,75.54689049,64.90562459
2020,347,30,30,4,191,corn,4,32.75,0.48,99.7,99.9,96.6919366,78.35569361,68.93673527
2020,466,40,40,5,201,corn,1,9.75,0.035,100.0,100.0,99.75878704,93.5562752,90.75215783
2020,466,40,40,5,201,corn,2,11.25,0.045,99.9,100.0,99.68986906,92.56493292,89.32941288
2020,466,40,40,5,201,corn,3,11,0.057,99.9,100.0,99.60716747,92.73015663,89.56653704
2020,466,40,40,5,201,corn,4,18,0.095,99.9,100.0,99.34527912,88.10389267,82.92706061
2020,580,50,50,6,211,corn,1,10.25,0.04,99.8,100.0,99.72432805,93.22582777,90.27790951
2020,580,50,50,6,211,corn,2,11.5,0.06,99.8,100.0,99.58649207,92.39970921,89.09228872
2020,580,50,50,6,211,corn,3,9.5,0.05,99.8,100.0,99.65541006,93.72149891,90.98928199
2020,580,50,50,6,211,corn,4,11.75,0.05,99.8,100.0,99.65541006,92.23448549,88.85516456
2020,0,0,1,1,161,fallow,1,134.25,243.65,48.2,0.0,48.18988889,11.27486617,11.27486617
2020,0,0,1,1,161,fallow,2,143.25,274.12,41.7,0.0,41.71070119,5.326812504,5.326812504
2020,0,0,1,1,161,fallow,3,142.25,408.41,13.2,0.0,13.15506884,5.987707356,5.987707356
2020,0,0,1,1,161,fallow,4,185.5,954.91,0.0,0.0,-103.0535325,-22.59599498,-22.59599498
2020,99,10,10,2,171,fallow,1,152.25,87.69,58.9,81.4,81.3534634,-0.621241161,-0.621241161
2020,99,10,10,2,171,fallow,2,157.5,256.93,-20.4,45.4,45.36600925,-4.090939132,-4.090939132
2020,99,10,10,2,171,fallow,3,130.5,259.14,-21.5,44.9,44.89607145,13.75322186,13.75322186
2020,99,10,10,2,171,fallow,4,123.25,248.78,-16.6,47.1,47.0990378,18.54470954,18.54470954
2020,204,20,20,3,181,fallow,1,85,50.9,73.8,89.2,89.17654564,43.82393761,43.82393761
2020,204,20,20,3,181,fallow,2,96.75,99.17,48.9,78.9,78.91233853,36.0584231,36.0584231
2020,204,20,20,3,181,fallow,3,140.75,290.87,-49.8,38.1,38.1489554,6.979049633,6.979049633
2020,204,20,20,3,181,fallow,4,168.5,335.72,0.0,28.6,28.61198235,-11.3607825,-11.3607825
2020,347,30,30,4,191,fallow,1,120.5,160.18,0.3,65.9,65.9390782,20.36217038,20.36217038
2020,347,30,30,4,191,fallow,2,80.5,50.4,68.6,89.3,89.28286641,46.79796444,46.79796444
2020,347,30,30,4,191,fallow,3,95.5,120.35,25.1,74.4,74.40859072,36.88454167,36.88454167
2020,347,30,30,4,191,fallow,4,190,311.86,0.0,33.7,33.68560948,-25.57002181,-25.57002181
2020,466,40,40,5,201,fallow,1,69.5,32.27,59.2,93.1,93.13805752,54.06780781,54.06780781
2020,466,40,40,5,201,fallow,2,95,74.18,6.2,84.2,84.2262506,37.2149891,37.2149891
2020,466,40,40,5,201,fallow,3,100.25,87.98,-11.3,81.3,81.29179735,33.74529112,33.74529112
2020,466,40,40,5,201,fallow,4,118.75,121.87,0.0,74.1,74.08537558,21.51873637,21.51873637
2020,580,50,50,6,211,fallow,1,48.25,8.41,66.9,98.2,98.21168465,68.11182341,68.11182341
2020,580,50,50,6,211,fallow,2,75,28.49,-12.1,93.9,93.94184254,50.43288613,50.43288613
2020,580,50,50,6,211,fallow,3,60,23.64,7.0,95.0,94.97315401,60.3463089,60.3463089
2020,580,50,50,6,211,fallow,4,90,41.15,-61.9,91.2,91.24980065,40.51946335,40.51946335
2020,0,0,1,1,161,narrow,1,110.75,12.32,97.4,97.4,53.17369821,26.80589518,20.1398904
2020,0,0,1,1,161,narrow,2,130.25,19.34,95.9,95.9,26.4918282,13.91844558,6.078742429
2020,0,0,1,1,161,narrow,3,146,25.11,94.7,94.7,4.561003421,3.509351662,-5.278338621
2020,0,0,1,1,161,narrow,4,167.75,48.49,89.7,89.7,0,-10.86511136,-20.96192674
2020,99,10,10,2,171,narrow,1,101.5,7.01,96.7,98.5,73.35613835,32.91917256,26.80992212
2020,99,10,10,2,171,narrow,2,103,7.58,96.4,98.4,71.18966173,31.92783028,25.72829536
2020,99,10,10,2,171,narrow,3,81.25,2.42,98.9,99.5,90.80197643,46.30229331,41.41188347
2020,99,10,10,2,171,narrow,4,95,4.85,97.7,99.0,81.56594451,37.2149891,31.49697145
2020,204,20,20,3,181,narrow,1,11.75,0.04,100.0,100.0,99.84796655,92.23448549,91.52725699
2020,204,20,20,3,181,narrow,2,12,0.06,100.0,100.0,99.77194983,92.06926178,91.34698587
2020,204,20,20,3,181,narrow,3,14.75,0.12,99.9,100.0,99.54389966,90.25180094,89.36400346
2020,204,20,20,3,181,narrow,4,14.25,0.1,99.9,100.0,99.61991638,90.58224836,89.72454572
2020,347,30,30,4,191,narrow,1,6.75,0.03,100.0,100.0,99.88597491,95.53895975,95.13267955
2020,347,30,30,4,191,narrow,2,5.75,0.01,100.0,100.0,99.96199164,96.1998546,95.85376406
2020,347,30,30,4,191,narrow,3,0,0,100.0,100.0,100,100,100
2020,347,30,30,4,191,narrow,4,6.75,0.015,100.0,100.0,99.94298746,95.53895975,95.13267955
2020,466,40,40,5,201,narrow,1,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,narrow,2,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,narrow,3,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,narrow,4,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,narrow,1,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,narrow,2,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,narrow,3,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,narrow,4,0,0,100.0,100.0,100,100,100
2020,0,0,1,1,161,wide,1,80.25,28.97,93.8,93.8,47.06742189,46.96318816,35.31355796
2020,0,0,1,1,161,wide,2,134.75,57.02,87.9,87.9,-4.184176868,10.94441874,-8.616798323
2020,0,0,1,1,161,wide,3,135.5,75.34,84.0,84.0,0,10.4487476,-9.221344511
2020,0,0,1,1,161,wide,4,145.75,57.59,87.8,87.8,-5.225653207,3.674575375,0
2020,99,10,10,2,171,wide,1,159,20.8,90.3,95.6,61.99524941,-5.082281409,-28.16379171
2020,99,10,10,2,171,wide,2,163.35,32.6,84.7,93.1,40.43486205,-7.957174014,-31.6701596
2020,99,10,10,2,171,wide,3,130.5,35.53,83.3,92.4,35.08130824,13.75322186,-5.191036595
2020,99,10,10,2,171,wide,4,143.75,29.1,86.4,93.8,46.8298922,4.996365078,-15.87135257
2020,204,20,20,3,181,wide,1,81.5,3.33,98.3,99.3,93.9155856,46.13706959,34.30598098
2020,204,20,20,3,181,wide,2,82,3.22,98.3,99.3,94.11657226,45.80662217,33.90295019
2020,204,20,20,3,181,wide,3,66.5,2.79,98.6,99.4,94.9022474,56.05049237,46.39690472
2020,204,20,20,3,181,wide,4,94.75,4.44,97.7,99.1,91.88744747,37.38021281,23.625665
2020,347,30,30,4,191,wide,1,0,0,100.0,100.0,100,100,100
2020,347,30,30,4,191,wide,2,9.5,0.04,100.0,100.0,99.92691394,93.72149891,92.34241496
2020,347,30,30,4,191,wide,3,0,0,100.0,100.0,100,100,100
2020,347,30,30,4,191,wide,4,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,wide,1,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,wide,2,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,wide,3,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,wide,4,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,wide,1,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,wide,2,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,wide,3,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,wide,4,0,0,100.0,100.0,100,100,100
